title,description,content,url,publishedAt,source,country,category
Shuttered auto plants will become EV factories thanks to $1.7 billion Biden program - The Verge,The Biden administration will give out $1.7 billion to retrofit 11 auto factories to produce electric vehicles. The money will go toward closed or at-risk facilities.,"Shuttered auto plants will become EV factories thanks to $1.7 billion Biden program
Shuttered auto plants will become EV factories thanks to $1.7 billion Biden program
 / The money will go toward 1… [+3392 chars]",https://www.theverge.com/2024/7/11/24195811/biden-ev-factory-retrofit-conversion-grant-funding,2024-07-11T09:00:00Z,The Verge,us,politics
Trump claims not to know who is behind Project 2025. A CNN review found at least 140 people who worked for him are involved - CNN,"Donald Trump has lately made clear he wants little to do with Project 2025, the conservative blueprint for the next Republican president that has attracted considerable blowback in his race for the White House.","Donald Trump has lately made clear he wants little to do with Project 2025, the conservative blueprint for the next Republican president that has attracted considerable blowback in his race for the W… [+10836 chars]",https://www.cnn.com/2024/07/11/politics/trump-allies-project-2025/index.html,2024-07-11T08:00:00Z,CNN,us,politics
iPhone 17 Pro Max Will Be First to Feature Three 48MP Camera Lenses - MacRumors,"Next year's iPhone 17 Pro Max will feature an upgraded 48-megapixel Tetraprism camera for enhanced photo quality and zoom functionality,...","Next year's iPhone 17 Pro Max will feature an upgraded 48-megapixel Tetraprism camera for enhanced photo quality and zoom functionality, according to Apple analyst Ming-Chi Kuo.
In his latest invest… [+1790 chars]",https://www.macrumors.com/2024/07/11/iphone-17-pro-max-48mp-telephoto/,2024-07-11T07:20:05Z,MacRumors,us,politics
Israel Gaza war: Israel tells 'everyone in Gaza City' to leave - BBC.com,,,https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9hcnRpY2xlcy9jeTA4bmw0cGx2em_SATJodHRwczovL3d3dy5iYmMuY29tL25ld3MvYXJ0aWNsZXMvY3kwOG5sNHBsdnpvLmFtcA?oc=5,2024-07-11T07:02:53Z,Google News,us,politics
"Every product Samsung unveiled at Unpacked July 2024: Galaxy Z Fold 6, Watch Ultra, Ring, more - ZDNet","At Unpacked yesterday, Samsung unveiled several new products, including two foldable phones, smartwatches, earbuds, and a smart ring that competes with Oura.","Kerry Wan/ZDNET
Samsung just held its Galaxy Unpacked event, unveiling a host of exciting new wearables and two brand-new smartphones available as soon as later this month. As expected, artificial i… [+12462 chars]",https://www.zdnet.com/article/every-product-samsung-unveiled-at-unpacked-july-2024-galaxy-z-fold-6-watch-ultra-ring-more/,2024-07-11T07:00:00Z,ZDNet,us,politics
[Removed],[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed],us,politics
Biden’s political position is rapidly deteriorating as critical news conference looms - CNN,A staggering 24 hours that cracked the political foundation of Joe Biden’s reelection bid leave him facing the most high-pressure presidential news conference in modern history on Thursday.,"A staggering 24 hours that cracked the political foundation of Joe Bidens reelection bid leave him facing the most high-pressure presidential news conference in modern history on Thursday.
The stake… [+8426 chars]",https://www.cnn.com/2024/07/11/politics/biden-democrats-analysis/index.html,2024-07-11T05:08:00Z,CNN,us,politics
Crossbow killings suspect found after attack on BBC sport commentator’s wife and daughters - CNN,A suspect wanted in connection with the triple killings of the wife and two daughters of a BBC sport commentator was found by British police Wednesday following a manhunt.,"A suspect wanted in connection with the triple killings of the wife and two daughters of a BBC sport commentator was found by British police Wednesday following a manhunt.
The search for Kyle Cliffo… [+3344 chars]",https://www.cnn.com/2024/07/10/uk/london-crossbow-killer-search-intl-gbr/index.html,2024-07-11T04:57:26Z,CNN,us,politics
George Clooney calls for Joe Biden to quit presidential race - BBC.com,Hollywood star joins growing list of donors and senior Democrats questioning president's fitness.,"By Brandon Drenon and Bernd Debusmann, at the Nato summit, BBC News, Washington
George Clooney has issued a damning call for Joe Biden to quit the US presidential race, hours after senior Democrat N… [+6202 chars]",https://www.bbc.com/news/articles/cy68gxw32zno,2024-07-11T04:48:12Z,BBC News,us,politics
Arkansas abortion amendment disqualified from ballot - Axios,,,https://www.axios.com/local/nw-arkansas/2024/07/10/arkansas-abortion-petition-amendment-ballot,2024-07-11T04:33:19Z,Axios,us,politics
